"Company Name","Industry","Symbol","Series","ISIN Code"
"International Gemmological Institute (India) Ltd.","Services","IGIL.NS","EQ","INE0Q9301021"
"Inventurus Knowledge Solutions Ltd.","Information Technology","IKS.NS","EQ","INE115Q01022"
"Ipca Laboratories Ltd.","Healthcare","IPCALAB.NS","EQ","INE571A01038"
"J.B. Chemicals & Pharmaceuticals Ltd.","Healthcare","JBCHEPHARM.NS","EQ","INE572A01036"
"J.K. Cement Ltd.","Construction Materials","JKCEMENT.NS","EQ","INE823G01014"
"JBM Auto Ltd.","Automobile and Auto Components","JBMA.NS","EQ","INE927D01051"
"JK Tyre & Industries Ltd.","Automobile and Auto Components","JKTYRE.NS","EQ","INE573A01042"
"JM Financial Ltd.","Financial Services","JMFINANCIL.NS","EQ","INE780C01023"
"JSW Energy Ltd.","Power","JSWENERGY.NS","EQ","INE121E01018"
"JSW Holdings Ltd.","Financial Services","JSWHL.NS","EQ","INE824G01012"
"JSW Infrastructure Ltd.","Services","JSWINFRA.NS","EQ","INE880J01026"
"JSW Steel Ltd.","Metals & Mining","JSWSTEEL.NS","EQ","INE019A01038"
"Jaiprakash Power Ventures Ltd.","Power","JPPOWER.NS","EQ","INE351F01018"
"Jammu & Kashmir Bank Ltd.","Financial Services","J&KBANK.NS","EQ","INE168A01041"
"Jindal Saw Ltd.","Capital Goods","JINDALSAW.NS","EQ","INE324A01032"
"Jindal Stainless Ltd.","Metals & Mining","JSL.NS","EQ","INE220G01021"
"Jindal Steel Ltd.","Metals & Mining","JINDALSTEL.NS","EQ","INE749A01030"
"Jio Financial Services Ltd.","Financial Services","JIOFIN.NS","EQ","INE758E01017"
"Jubilant Foodworks Ltd.","Consumer Services","JUBLFOOD.NS","EQ","INE797F01020"
"Jubilant Ingrevia Ltd.","Chemicals","JUBLINGREA.NS","EQ","INE0BY001018"
"Jubilant Pharmova Ltd.","Healthcare","JUBLPHARMA.NS","EQ","INE700A01033"
"Jupiter Wagons Ltd.","Capital Goods","JWL.NS","EQ","INE209L01016"
"Justdial Ltd.","Consumer Services","JUSTDIAL.NS","EQ","INE599M01018"
"Jyothy Labs Ltd.","Fast Moving Consumer Goods","JYOTHYLAB.NS","EQ","INE668F01031"
"Jyoti CNC Automation Ltd.","Capital Goods","JYOTICNC.NS","EQ","INE980O01024"
"K.P.R. Mill Ltd.","Textiles","KPRMILL.NS","EQ","INE930H01031"
"KEI Industries Ltd.","Capital Goods","KEI.NS","EQ","INE878B01027"
"KNR Constructions Ltd.","Construction","KNRCON.NS","EQ","INE634I01029"
"KPIT Technologies Ltd.","Information Technology","KPITTECH.NS","EQ","INE04I401011"
"Kajaria Ceramics Ltd.","Consumer Durables","KAJARIACER.NS","EQ","INE217B01036"
"Kalpataru Projects International Ltd.","Construction","KPIL.NS","EQ","INE220B01022"
"Kalyan Jewellers India Ltd.","Consumer Durables","KALYANKJIL.NS","EQ","INE303R01014"
"Kansai Nerolac Paints Ltd.","Consumer Durables","KANSAINER.NS","EQ","INE531A01024"
"Karur Vysya Bank Ltd.","Financial Services","KARURVYSYA.NS","EQ","INE036D01028"
"Kaynes Technology India Ltd.","Capital Goods","KAYNES.NS","EQ","INE918Z01012"
"Kec International Ltd.","Construction","KEC.NS","EQ","INE389H01022"
"Kfin Technologies Ltd.","Financial Services","KFINTECH.NS","EQ","INE138Y01010"
"Kirloskar Brothers Ltd.","Capital Goods","KIRLOSBROS.NS","EQ","INE732A01036"
"Kirloskar Oil Eng Ltd.","Capital Goods","KIRLOSENG.NS","EQ","INE146L01010"
"Kotak Mahindra Bank Ltd.","Financial Services","KOTAKBANK.NS","EQ","INE237A01028"
"Krishna Institute of Medical Sciences Ltd.","Healthcare","KIMS.NS","EQ","INE967H01025"
"L&T Finance Ltd.","Financial Services","LTF.NS","EQ","INE498L01015"
"L&T Technology Services Ltd.","Information Technology","LTTS.NS","EQ","INE010V01017"
"LIC Housing Finance Ltd.","Financial Services","LICHSGFIN.NS","EQ","INE115A01026"
"LT Foods Ltd.","Fast Moving Consumer Goods","LTFOODS.NS","EQ","INE818H01020"
"LTIMindtree Ltd.","Information Technology","LTIM.NS","EQ","INE214T01019"
"Larsen & Toubro Ltd.","Construction","LT.NS","EQ","INE018A01030"
"Latent View Analytics Ltd.","Information Technology","LATENTVIEW.NS","EQ","INE0I7C01011"
"Laurus Labs Ltd.","Healthcare","LAURUSLABS.NS","EQ","INE947Q01028"
"Lemon Tree Hotels Ltd.","Consumer Services","LEMONTREE.NS","EQ","INE970X01018"
"Life Insurance Corporation of India","Financial Services","LICI.NS","EQ","INE0J1Y01017"
"Linde India Ltd.","Chemicals","LINDEINDIA.NS","EQ","INE473A01011"
"Lloyds Metals And Energy Ltd.","Metals & Mining","LLOYDSME.NS","EQ","INE281B01032"
"Lodha Developers Ltd.","Realty","LODHA.NS","EQ","INE670K01029"
"Lupin Ltd.","Healthcare","LUPIN.NS","EQ","INE326A01037"
"MMTC Ltd.","Services","MMTC.NS","EQ","INE123F01029"
"MRF Ltd.","Automobile and Auto Components","MRF.NS","EQ","INE883A01011"
"Mahanagar Gas Ltd.","Oil Gas & Consumable Fuels","MGL.NS","EQ","INE002S01010"
"Maharashtra Seamless Ltd.","Capital Goods","MAHSEAMLES.NS","EQ","INE271B01025"
"Mahindra & Mahindra Financial Services Ltd.","Financial Services","M&MFIN.NS","EQ","INE774D01024"
"Mahindra & Mahindra Ltd.","Automobile and Auto Components","M&M.NS","EQ","INE101A01026"
"Manappuram Finance Ltd.","Financial Services","MANAPPURAM.NS","EQ","INE522D01027"
"Mangalore Refinery & Petrochemicals Ltd.","Oil Gas & Consumable Fuels","MRPL.NS","EQ","INE103A01014"
"Mankind Pharma Ltd.","Healthcare","MANKIND.NS","EQ","INE634S01028"
"Marico Ltd.","Fast Moving Consumer Goods","MARICO.NS","EQ","INE196A01026"
"Maruti Suzuki India Ltd.","Automobile and Auto Components","MARUTI.NS","EQ","INE585B01010"
"Mastek Ltd.","Information Technology","MASTEK.NS","EQ","INE759A01021"
"Max Financial Services Ltd.","Financial Services","MFSL.NS","EQ","INE180A01020"
"Max Healthcare Institute Ltd.","Healthcare","MAXHEALTH.NS","EQ","INE027H01010"
"Mazagoan Dock Shipbuilders Ltd.","Capital Goods","MAZDOCK.NS","EQ","INE249Z01020"
"Metropolis Healthcare Ltd.","Healthcare","METROPOLIS.NS","EQ","INE112L01020"
"Minda Corporation Ltd.","Automobile and Auto Components","MINDACORP.NS","EQ","INE842C01021"
"Motherson Sumi Wiring India Ltd.","Automobile and Auto Components","MSUMI.NS","EQ","INE0FS801015"
"Motilal Oswal Financial Services Ltd.","Financial Services","MOTILALOFS.NS","EQ","INE338I01027"
"MphasiS Ltd.","Information Technology","MPHASIS.NS","EQ","INE356A01018"
"Multi Commodity Exchange of India Ltd.","Financial Services","MCX.NS","EQ","INE745G01035"
"Muthoot Finance Ltd.","Financial Services","MUTHOOTFIN.NS","EQ","INE414G01012"
"NATCO Pharma Ltd.","Healthcare","NATCOPHARM.NS","EQ","INE987B01026"
"NBCC (India) Ltd.","Construction","NBCC.NS","EQ","INE095N01031"
"NCC Ltd.","Construction","NCC.NS","EQ","INE868B01028"
"NHPC Ltd.","Power","NHPC.NS","EQ","INE848E01016"
"NLC India Ltd.","Power","NLCINDIA.NS","EQ","INE589A01014"
"NMDC Ltd.","Metals & Mining","NMDC.NS","EQ","INE584A01023"
"NMDC Steel Ltd.","Metals & Mining","NSLNISP.NS","EQ","INE0NNS01018"
"NTPC Green Energy Ltd.","Power","NTPCGREEN.NS","EQ","INE0ONG01011"
"NTPC Ltd.","Power","NTPC.NS","EQ","INE733E01010"
"Narayana Hrudayalaya Ltd.","Healthcare","NH.NS","EQ","INE410P01011"
"National Aluminium Co. Ltd.","Metals & Mining","NATIONALUM.NS","EQ","INE139A01034"
"Nava Ltd.","Power","NAVA.NS","EQ","INE725A01030"
"Navin Fluorine International Ltd.","Chemicals","NAVINFLUOR.NS","EQ","INE048G01026"
"Nestle India Ltd.","Fast Moving Consumer Goods","NESTLEIND.NS","EQ","INE239A01024"
"Netweb Technologies India Ltd.","Information Technology","NETWEB.NS","EQ","INE0NT901020"
"Network18 Media & Investments Ltd.","Media Entertainment & Publication","NETWORK18.NS","EQ","INE870H01013"
"Neuland Laboratories Ltd.","Healthcare","NEULANDLAB.NS","EQ","INE794A01010"
"Newgen Software Technologies Ltd.","Information Technology","NEWGEN.NS","EQ","INE619B01017"
"Nippon Life India Asset Management Ltd.","Financial Services","NAM-INDIA.NS","EQ","INE298J01013"
"Niva Bupa Health Insurance Company Ltd.","Financial Services","NIVABUPA.NS","EQ","INE995S01015"
"Nuvama Wealth Management Ltd.","Financial Services","NUVAMA.NS","EQ","INE531F01015"
"Oberoi Realty Ltd.","Realty","OBEROIRLTY.NS","EQ","INE093I01010"
"Oil & Natural Gas Corporation Ltd.","Oil Gas & Consumable Fuels","ONGC.NS","EQ","INE213A01029"
"Oil India Ltd.","Oil Gas & Consumable Fuels","OIL.NS","EQ","INE274J01014"
"Ola Electric Mobility Ltd.","Automobile and Auto Components","OLAELEC.NS","EQ","INE0LXG01040"
"Olectra Greentech Ltd.","Automobile and Auto Components","OLECTRA.NS","EQ","INE260D01016"
"One 97 Communications Ltd.","Financial Services","PAYTM.NS","EQ","INE982J01020"
"Oracle Financial Services Software Ltd.","Information Technology","OFSS.NS","EQ","INE881D01027"
"PB Fintech Ltd.","Financial Services","POLICYBZR.NS","EQ","INE417T01026"
"PCBL Chemical Ltd.","Chemicals","PCBL.NS","EQ","INE602A01031"
"PG Electroplast Ltd.","Consumer Durables","PGEL.NS","EQ","INE457L01029"
"PI Industries Ltd.","Chemicals","PIIND.NS","EQ","INE603J01030"
"PNB Housing Finance Ltd.","Financial Services","PNBHOUSING.NS","EQ","INE572E01012"
"PNC Infratech Ltd.","Construction","PNCINFRA.NS","EQ","INE195J01029"
"PTC Industries Ltd.","Capital Goods","PTCIL.NS","EQ","INE596F01018"
"PVR INOX Ltd.","Media Entertainment & Publication","PVRINOX.NS","EQ","INE191H01014"
"Page Industries Ltd.","Textiles","PAGEIND.NS","EQ","INE761H01022"
"Patanjali Foods Ltd.","Fast Moving Consumer Goods","PATANJALI.NS","EQ","INE619A01035"
"Persistent Systems Ltd.","Information Technology","PERSISTENT.NS","EQ","INE262H01021"
"Petronet LNG Ltd.","Oil Gas & Consumable Fuels","PETRONET.NS","EQ","INE347G01014"
"Pfizer Ltd.","Healthcare","PFIZER.NS","EQ","INE182A01018"
"Phoenix Mills Ltd.","Realty","PHOENIXLTD.NS","EQ","INE211B01039"
"Pidilite Industries Ltd.","Chemicals","PIDILITIND.NS","EQ","INE318A01026"
"Piramal Enterprises Ltd.","Financial Services","PEL.NS","EQ","INE140A01024"
"Piramal Pharma Ltd.","Healthcare","PPLPHARMA.NS","EQ","INE0DK501011"
"Poly Medicure Ltd.","Healthcare","POLYMED.NS","EQ","INE205C01021"
"Polycab India Ltd.","Capital Goods","POLYCAB.NS","EQ","INE455K01017"
"Poonawalla Fincorp Ltd.","Financial Services","POONAWALLA.NS","EQ","INE511C01022"
"Power Finance Corporation Ltd.","Financial Services","PFC.NS","EQ","INE134E01011"
"Power Grid Corporation of India Ltd.","Power","POWERGRID.NS","EQ","INE752E01010"
"Praj Industries Ltd.","Capital Goods","PRAJIND.NS","EQ","INE074A01025"
"Premier Energies Ltd.","Capital Goods","PREMIERENE.NS","EQ","INE0BS701011"
"Prestige Estates Projects Ltd.","Realty","PRESTIGE.NS","EQ","INE811K01011"
"Punjab National Bank","Financial Services","PNB.NS","EQ","INE160A01022"
"R R Kabel Ltd.","Capital Goods","RRKABEL.NS","EQ","INE777K01022"
"RBL Bank Ltd.","Financial Services","RBLBANK.NS","EQ","INE976G01028"
"REC Ltd.","Financial Services","RECLTD.NS","EQ","INE020B01018"
"RHI MAGNESITA INDIA LTD.","Capital Goods","RHIM.NS","EQ","INE743M01012"
"RITES Ltd.","Construction","RITES.NS","EQ","INE320J01015"
"Radico Khaitan Ltd","Fast Moving Consumer Goods","RADICO.NS","EQ","INE944F01028"
"Rail Vikas Nigam Ltd.","Construction","RVNL.NS","EQ","INE415G01027"
"Railtel Corporation Of India Ltd.","Telecommunication","RAILTEL.NS","EQ","INE0DD101019"
"Rainbow Childrens Medicare Ltd.","Healthcare","RAINBOW.NS","EQ","INE961O01016"
"Ramkrishna Forgings Ltd.","Automobile and Auto Components","RKFORGE.NS","EQ","INE399G01023"
"Rashtriya Chemicals & Fertilizers Ltd.","Chemicals","RCF.NS","EQ","INE027A01015"
"RattanIndia Enterprises Ltd.","Consumer Services","RTNINDIA.NS","EQ","INE834M01019"
"Raymond Lifestyle Ltd.","Textiles","RAYMONDLSL.NS","EQ","INE02ID01020"
"Raymond Ltd.","Realty","RAYMOND.NS","EQ","INE301A01014"
"Redington Ltd.","Services","REDINGTON.NS","EQ","INE891D01026"
"Reliance Industries Ltd.","Oil Gas & Consumable Fuels","RELIANCE.NS","EQ","INE002A01018"
"Reliance Power Ltd.","Power","RPOWER.NS","BE","INE614G01033"
"Route Mobile Ltd.","Telecommunication","ROUTE.NS","EQ","INE450U01017"
"SBFC Finance Ltd.","Financial Services","SBFC.NS","EQ","INE423Y01016"
"SBI Cards and Payment Services Ltd.","Financial Services","SBICARD.NS","EQ","INE018E01016"
"SBI Life Insurance Company Ltd.","Financial Services","SBILIFE.NS","EQ","INE123W01016"
"SJVN Ltd.","Power","SJVN.NS","EQ","INE002L01015"
"SKF India Ltd.","Capital Goods","SKFINDIA.NS","EQ","INE640A01023"
"SRF Ltd.","Chemicals","SRF.NS","EQ","INE647A01010"
"Sagility India Ltd.","Information Technology","SAGILITY.NS","EQ","INE0W2G01015"
"Sai Life Sciences Ltd.","Healthcare","SAILIFE.NS","EQ","INE570L01029"
"Sammaan Capital Ltd.","Financial Services","SAMMAANCAP.NS","EQ","INE148I01020"
"Samvardhana Motherson International Ltd.","Automobile and Auto Components","MOTHERSON.NS","EQ","INE775A01035"
"Sapphire Foods India Ltd.","Consumer Services","SAPPHIRE.NS","EQ","INE806T01020"
"Sarda Energy and Minerals Ltd.","Metals & Mining","SARDAEN.NS","EQ","INE385C01021"
"Saregama India Ltd","Media Entertainment & Publication","SAREGAMA.NS","EQ","INE979A01025"
"Schaeffler India Ltd.","Automobile and Auto Components","SCHAEFFLER.NS","EQ","INE513A01022"
"Schneider Electric Infrastructure Ltd.","Capital Goods","SCHNEIDER.NS","BE","INE839M01018"
"Shipping Corporation of India Ltd.","Services","SCI.NS","EQ","INE109A01011"
"Shree Cement Ltd.","Construction Materials","SHREECEM.NS","EQ","INE070A01015"
"Shree Renuka Sugars Ltd.","Fast Moving Consumer Goods","RENUKA.NS","EQ","INE087H01022"
"Shriram Finance Ltd.","Financial Services","SHRIRAMFIN.NS","EQ","INE721A01047"
"Shyam Metalics and Energy Ltd.","Capital Goods","SHYAMMETL.NS","EQ","INE810G01011"
"Siemens Ltd.","Capital Goods","SIEMENS.NS","EQ","INE003A01024"
"Signatureglobal (India) Ltd.","Realty","SIGNATURE.NS","EQ","INE903U01023"
"Sobha Ltd.","Realty","SOBHA.NS","EQ","INE671H01015"
"Solar Industries India Ltd.","Chemicals","SOLARINDS.NS","EQ","INE343H01029"
"Sona BLW Precision Forgings Ltd.","Automobile and Auto Components","SONACOMS.NS","EQ","INE073K01018"
"Sonata Software Ltd.","Information Technology","SONATSOFTW.NS","EQ","INE269A01021"
"Star Health and Allied Insurance Company Ltd.","Financial Services","STARHEALTH.NS","EQ","INE575P01011"
"State Bank of India","Financial Services","SBIN.NS","EQ","INE062A01020"
"Steel Authority of India Ltd.","Metals & Mining","SAIL.NS","EQ","INE114A01011"
"Sterling and Wilson Renewable Energy Ltd.","Construction","SWSOLAR.NS","EQ","INE00M201021"
"Sumitomo Chemical India Ltd.","Chemicals","SUMICHEM.NS","EQ","INE258G01013"
"Sun Pharmaceutical Industries Ltd.","Healthcare","SUNPHARMA.NS","EQ","INE044A01036"
"Sun TV Network Ltd.","Media Entertainment & Publication","SUNTV.NS","EQ","INE424H01027"
"Sundaram Finance Ltd.","Financial Services","SUNDARMFIN.NS","EQ","INE660A01013"
"Sundram Fasteners Ltd.","Automobile and Auto Components","SUNDRMFAST.NS","EQ","INE387A01021"
"Supreme Industries Ltd.","Capital Goods","SUPREMEIND.NS","EQ","INE195A01028"
"Suzlon Energy Ltd.","Capital Goods","SUZLON.NS","EQ","INE040H01021"
"Swan Corp Ltd.","Chemicals","SWANCORP.NS","EQ","INE665A01038"
"Swiggy Ltd.","Consumer Services","SWIGGY.NS","EQ","INE00H001014"
"Syngene International Ltd.","Healthcare","SYNGENE.NS","EQ","INE398R01022"
"Syrma SGS Technology Ltd.","Capital Goods","SYRMA.NS","EQ","INE0DYJ01015"
"TBO Tek Ltd.","Consumer Services","TBOTEK.NS","EQ","INE673O01025"
"TVS Motor Company Ltd.","Automobile and Auto Components","TVSMOTOR.NS","EQ","INE494B01023"
"Tanla Platforms Ltd.","Information Technology","TANLA.NS","EQ","INE483C01032"
"Tata Chemicals Ltd.","Chemicals","TATACHEM.NS","EQ","INE092A01019"
"Tata Communications Ltd.","Telecommunication","TATACOMM.NS","EQ","INE151A01013"
"Tata Consultancy Services Ltd.","Information Technology","TCS.NS","EQ","INE467B01029"
"Tata Consumer Products Ltd.","Fast Moving Consumer Goods","TATACONSUM.NS","EQ","INE192A01025"
"Tata Elxsi Ltd.","Information Technology","TATAELXSI.NS","EQ","INE670A01012"
"Tata Investment Corporation Ltd.","Financial Services","TATAINVEST.NS","EQ","INE672A01018"
"Tata Motors Ltd.","Automobile and Auto Components","TATAMOTORS.NS","EQ","INE155A01022"
"Tata Power Co. Ltd.","Power","TATAPOWER.NS","EQ","INE245A01021"
"Tata Steel Ltd.","Metals & Mining","TATASTEEL.NS","EQ","INE081A01020"
"Tata Technologies Ltd.","Information Technology","TATATECH.NS","EQ","INE142M01025"
"Tata Teleservices (Maharashtra) Ltd.","Telecommunication","TTML.NS","BE","INE517B01013"
"Tech Mahindra Ltd.","Information Technology","TECHM.NS","EQ","INE669C01036"
"Techno Electric & Engineering Company Ltd.","Construction","TECHNOE.NS","EQ","INE285K01026"
"Tejas Networks Ltd.","Telecommunication","TEJASNET.NS","EQ","INE010J01012"
"The New India Assurance Company Ltd.","Financial Services","NIACL.NS","EQ","INE470Y01017"
"The Ramco Cements Ltd.","Construction Materials","RAMCOCEM.NS","EQ","INE331A01037"
"Thermax Ltd.","Capital Goods","THERMAX.NS","EQ","INE152A01029"
"Timken India Ltd.","Capital Goods","TIMKEN.NS","EQ","INE325A01013"
"Titagarh Rail Systems Ltd.","Capital Goods","TITAGARH.NS","EQ","INE615H01020"
"Titan Company Ltd.","Consumer Durables","TITAN.NS","EQ","INE280A01028"
"Torrent Pharmaceuticals Ltd.","Healthcare","TORNTPHARM.NS","EQ","INE685A01028"
"Torrent Power Ltd.","Power","TORNTPOWER.NS","EQ","INE813H01021"
"Transformers And Rectifiers (India) Ltd.","Capital Goods","TARIL.NS","EQ","INE763I01026"
"Trent Ltd.","Consumer Services","TRENT.NS","EQ","INE849A01020"
"Trident Ltd.","Textiles","TRIDENT.NS","EQ","INE064C01022"
"Triveni Engineering & Industries Ltd.","Fast Moving Consumer Goods","TRIVENI.NS","EQ","INE256C01024"
"Triveni Turbine Ltd.","Capital Goods","TRITURBINE.NS","EQ","INE152M01016"
"Tube Investments of India Ltd.","Automobile and Auto Components","TIINDIA.NS","EQ","INE974X01010"
"UCO Bank","Financial Services","UCOBANK.NS","EQ","INE691A01018"
"UNO Minda Ltd.","Automobile and Auto Components","UNOMINDA.NS","EQ","INE405E01023"
"UPL Ltd.","Chemicals","UPL.NS","EQ","INE628A01036"
"UTI Asset Management Company Ltd.","Financial Services","UTIAMC.NS","EQ","INE094J01016"
"UltraTech Cement Ltd.","Construction Materials","ULTRACEMCO.NS","EQ","INE481G01011"
"Union Bank of India","Financial Services","UNIONBANK.NS","EQ","INE692A01016"
"United Breweries Ltd.","Fast Moving Consumer Goods","UBL.NS","EQ","INE686F01025"
"United Spirits Ltd.","Fast Moving Consumer Goods","UNITDSPR.NS","EQ","INE854D01024"
"Usha Martin Ltd.","Capital Goods","USHAMART.NS","EQ","INE228A01035"
"V-Guard Industries Ltd.","Consumer Durables","VGUARD.NS","EQ","INE951I01027"
"Valor Estate Ltd.","Consumer Services","DBREALTY.NS","EQ","INE879I01012"
"Vardhman Textiles Ltd.","Textiles","VTL.NS","EQ","INE825A01020"
"Varun Beverages Ltd.","Fast Moving Consumer Goods","VBL.NS","EQ","INE200M01039"
"Vedant Fashions Ltd.","Consumer Services","MANYAVAR.NS","EQ","INE825V01034"
"Vedanta Ltd.","Metals & Mining","VEDL.NS","EQ","INE205A01025"
"Vijaya Diagnostic Centre Ltd.","Healthcare","VIJAYA.NS","EQ","INE043W01024"
"Vishal Mega Mart Ltd.","Consumer Services","VMM.NS","EQ","INE01EA01019"
"Vodafone Idea Ltd.","Telecommunication","IDEA.NS","EQ","INE669E01016"
"Voltas Ltd.","Consumer Durables","VOLTAS.NS","EQ","INE226A01021"
"Waaree Energies Ltd.","Capital Goods","WAAREEENER.NS","EQ","INE377N01017"
"Welspun Corp Ltd.","Capital Goods","WELCORP.NS","EQ","INE191B01025"
"Welspun Living Ltd.","Textiles","WELSPUNLIV.NS","EQ","INE192B01031"
"Westlife Foodworld Ltd.","Consumer Services","WESTLIFE.NS","EQ","INE274F01020"
"Whirlpool of India Ltd.","Consumer Durables","WHIRLPOOL.NS","EQ","INE716A01013"
"Wipro Ltd.","Information Technology","WIPRO.NS","EQ","INE075A01022"
"Wockhardt Ltd.","Healthcare","WOCKPHARMA.NS","EQ","INE049B01025"
"Yes Bank Ltd.","Financial Services","YESBANK.NS","EQ","INE528G01035"
"ZF Commercial Vehicle Control Systems India Ltd.","Automobile and Auto Components","ZFCVINDIA.NS","EQ","INE342J01019"
"Zee Entertainment Enterprises Ltd.","Media Entertainment & Publication","ZEEL.NS","EQ","INE256A01028"
"Zen Technologies Ltd.","Capital Goods","ZENTEC.NS","EQ","INE251B01027"
"Zensar Technolgies Ltd.","Information Technology","ZENSARTECH.NS","EQ","INE520A01027"
"Zydus Lifesciences Ltd.","Healthcare","ZYDUSLIFE.NS","EQ","INE010B01027"
"eClerx Services Ltd.","Services","ECLERX.NS","EQ","INE738I01010"
